                                 The SAS System                                1
                                             Thursday, July  8, 2021 08:19:00 PM

       Obs    gvkey      fyear                   mii                    pi
       166    001496      1999                0.0000                4.3950
       167    001496      2000                0.0000                4.8400
       168    001500      1994                0.0000               39.5270
       169    001500      1995                0.0000               49.8000
       170    001500      1996                0.0000               26.2000
       171    001523      1995                0.0000                1.3280
       172    001523      1996                0.0000                1.6390
       173    001523      1997                0.0000                1.4780
       174    001523      1998                0.0000                1.7260
       175    001523      1999                0.0000                1.5190
       176    001537      1994                0.0000              152.3570
       177    001537      1995                0.0000              161.0780
       178    001537      1996                0.0000              228.2620
       179    001539      1994                0.0150                1.9810
       180    001539      1996                0.0000                2.9690
       181    001542      1994                0.0000                5.3050
       182    001542      1995                0.0000                7.2210
       183    001542      1996                0.0000                9.9940
       184    001543      1994                 .                  110.3040
       185    001543      1995                 .                   53.1530
       186    001554      1998                0.0000                3.4090
       187    001573      1994                0.0000              606.2630
       188    001573      1995                0.0000              550.9160
       189    001573      1996                0.0000              504.5520
       190    001573      1997                0.0000              523.6650
       191    001577      1997                0.0000                5.3380
       192    001577      1998                0.0000                6.5660
       193    001577      1999                0.0000                3.2760
       194    001577      2000                0.0000               13.9560
       195    001581      1994               64.0000             7582.0000
       196    001585      1994                 .                    1.4650
       197    001585      1995                 .                    5.0430
       198    001585      1997                 .                    3.2830
       199    001585      1998                 .                    3.2630
       200    001585      1999                 .                    5.2230
       201    001585      2000                 .                    7.1850
       202    001593      1995                0.0000               17.3920
       203    001593      1996                0.0000               23.7070
       204    001593      1997                0.0000               31.2460
       205    001593      1998                0.0000               31.9170
       206    001593      1999                0.0000               32.7550
       207    001598      1994                0.0000               61.8070
       208    001598      1995                0.0000               69.2570
       209    001598      1996                0.0000               78.6600
       210    001598      1997                0.0000               78.1940
       211    001598      1998                0.0000               77.3580
       212    001606      1996                0.0000                1.8390
       213    001606      1997                0.0000                1.5980
       214    001608      1994                0.0000              594.2880
       215    001609      1994                 .                 2491.0000
       216    001611      1994                 .                   12.9210
       217    001611      1995               -3.4480                4.5850
       218    001613      1995                0.0000               13.9750
       219    001613      1997                0.0000               25.9050
       220    001613      1998                0.0000               23.6220
       221    001613      1999                0.0000               22.6900
       222    001632      1994                 .                   96.9110
       223    001632      1999                0.0000              257.5400
       224    001632      2000                0.0000              865.7110
       225    001633      1994                1.9150               19.6100
       226    001633      1995                0.5180               16.8910
       227    001633      1996               -1.1460               16.1600
       228    001633      1997                1.2700               27.9910
       229    001633      1998                1.0980               36.9770
       230    001634      1994                0.0000               12.7750
       231    001634      1995                0.0000               18.5300
       232    001634      1996                0.0000               20.7390
       233    001634      1997                0.0000               27.2100
       234    001634      1998                0.0000               37.6870
       235    001634      1999                0.0000               37.2680
       236    001634      2000                0.1130               15.5570
       237    001642      1995                0.0000                2.1180
       238    001642      1996                0.0000                0.6720
       239    001642      1997                0.0000                1.5930
       240    001651      1994                 .                   69.3660
       241    001651      1995                 .                  105.9520
       242    001651      1996                 .                  141.2450
       243    001651      1997                 .                  165.7820
       244    001651      1998                 .                  157.3440
       245    001651      1999                 .                   49.1780
       246    001651      2000                 .                  117.0600
       247    001655      1994                0.0000               21.2540
       248    001655      1995                0.0000                1.8550
       249    001655      1996                0.0000               12.9380
       250    001655      1998                0.0000               14.3420
       251    001655      1999                0.0000                8.3720
       252    001655      2000                0.0000               10.4540
       253    001659      1996                 .                   11.8910
       254    001659      1997                 .                    6.2550
       255    001659      1998                 .                   13.0060
       256    001659      1999                 .                   11.9590
       257    001659      2000                 .                   14.3640
       258    001663      1994                0.0000             1707.1000
       259    001663      1995                0.0000             1461.7000
       260    001663      1996                0.0000             1892.9000
       261    001663      1997                 .                 1882.8000
       262    001663      1998                 .                 1937.6000
       263    001663      1999                 .                 2165.1000
       264    001663      2000                 .                 2379.9000
       265    001686      1994               -0.2620               20.8890
       266    001686      1995               -0.5160               27.1390
       267    001686      1996               -0.8270               39.1950
       268    001686      1998               -0.2350               31.1950
       269    001686      1999                 .                    6.2420
       270    001686      2000                 .                   22.2370
       271    001690      1994                0.0000              500.2860
       272    001690      1995                0.0000              674.0000
       273    001704      1994                0.0000              330.7700
       274    001704      1995                0.0000              698.5430
       275    001704      1996                0.0000              922.4360
       276    001704      1997                0.0000              798.9210
       277    001704      1998                0.0000              437.8330
       278    001704      1999                0.0000             1055.5830
       279    001704      2000                0.0000             2947.8440
       280    001706      1994                 .                   25.2980
       281    001722      1994                 .                  738.3030
       282    001722      1995                 .                 1181.5230
       283    001722      1996                 .                 1054.4130
       284    001722      1997                 .                  644.4050
       285    001722      1998                 .                  610.0120
       286    001722      1999                 .                  419.8330
       287    001722      2000                 .                  353.2370
       288    001728      1994                0.0000                8.1220
       289    001728      1995                0.0000               11.7720
       290    001728      1998                0.0000               17.0950
       291    001728      1999                0.0000               17.8390
       292    001728      2000                0.0000               20.8570
       293    001743      1994                3.5230               40.1620
       294    001762      1994                1.8000              306.3000
       295    001762      1995                0.6000                8.8000
       296    001762      1996                0.3000              240.5000
       297    001762      1997                0.6000              296.8000
       298    001762      1999                 .                   29.2000
       299    001766      1995                0.0000               47.9010
       300    001766      1996                0.0000               39.4520
       301    001766      1997                0.0000               50.8890
       302    001766      1998                0.0000               55.8420
       303    001766      1999                0.0000               54.8430
       304    001773      1996               15.1950              362.5710
       305    001773      1997               13.1120              308.3850
       306    001773      1998               11.4690              272.3150
       307    001773      1999                5.2640              231.2050
       308    001773      2000                4.0050              610.1310
       309    001780      1996                0.0000                2.3580
       310    001794      1994                 .                  272.0000
       311    001794      1995               23.0000               34.0000
       312    001794      1996                8.0000              311.0000
       313    001794      1997               24.0000              335.0000
       314    001794      1998                0.0000              317.0000
       315    001794      1999                0.0000              482.0000
       316    001794      2000                0.0000              483.0000
       317    001823      1999                0.0000                6.9320
       318    001823      2000                0.0000                8.9300
       319    001832      1994                0.0000                2.0090
       320    001849      1994                0.0000               85.6200
       321    001849      1995                0.0000               80.7740
       322    001849      1996                0.0000               91.1070
       323    001849      1997                0.0000               86.8420
       324    001864      1994                0.0000               20.8160
       325    001864      1995                0.0000               24.0750
       326    001864      1996                0.0000               12.1670
       327    001864      1997                0.0000               12.2520
       328    001864      1998                0.0000               15.1980
       329    001864      1999                0.0000               25.3600
       330    001864      2000                0.0000               24.9810
       331    001874      1995                0.0000                0.3580
       332    001874      1996                0.0000                0.4270
       333    001874      1997                0.0000                0.4050
       334    001878      1994                0.0000               89.1440
       335    001878      1995                0.0000              138.2800
       336    001878      1996                0.0000               66.5120
       337    001878      1997                0.0000               84.8060
       338    001878      1998                0.0000              146.5600
       339    001891      1994                 .                  446.3300
       340    001891      1995                 .                  534.2800
